First routing table for node 0:
0		0		0
1		1		0 1
2		2		0 1 2
3		3		0 1 2 3
4		4		0 1 2 3 4
5		4		0 8 7 6 5
6		3		0 8 7 6
7		2		0 8 7
8		1		0 8
9		1		0 9
10		2		0 9 10
11		2		0 8 11
12		2		0 8 12
13		3		0 8 7 13
14		2		0 8 14
15		3		0 9 10 15
16		4		0 9 10 15 16
17		3		0 8 11 17
18		3		0 8 14 18
19		3		0 8 14 19
20		4		0 8 14 18 20
21		4		0 8 14 18 21
22		4		0 8 11 17 22
23		4		0 8 11 17 23
---------------------------------------------------------------------

Second routing table for node 0:
0		0		0
1		3		0 8 2 1
2		2		0 8 2
3		6		0 8 7 6 5 4 3
4		5		0 8 7 6 5 4
5		5		0 1 2 3 4 5
6		6		0 1 2 3 4 5 6
7		4		0 9 12 13 7
8		2		0 9 8
9		2		0 8 9
10		3		0 8 11 10
11		3		0 9 10 11
12		2		0 9 12
13		3		0 9 12 13
14		3		0 9 12 14
15		4		0 8 11 17 15
16		4		0 8 11 17 16
17		3		0 9 12 17
18		4		0 9 10 15 18
19		4		0 9 12 13 19
20		5		0 9 12 13 19 20
21		5		0 9 12 17 22 21
22		5		0 9 8 14 18 22
23		5		0 9 10 15 16 23
======================================================================

First routing table for node 1:
0		1		1 0
1		0		1
2		1		1 2
3		2		1 2 3
4		3		1 2 3 4
5		4		1 2 3 4 5
6		4		1 0 8 7 6
7		3		1 0 8 7
8		2		1 0 8
9		2		1 0 9
10		3		1 0 9 10
11		3		1 0 8 11
12		3		1 0 8 12
13		4		1 0 8 7 13
14		3		1 0 8 14
15		4		1 0 9 10 15
16		5		1 0 9 10 15 16
17		4		1 0 8 11 17
18		4		1 0 8 14 18
19		4		1 0 8 14 19
20		5		1 0 8 14 18 20
21		5		1 0 8 14 18 21
22		5		1 0 8 11 17 22
23		5		1 0 8 11 17 23
---------------------------------------------------------------------

Second routing table for node 1:
0		3		1 2 8 0
1		0		1
2		3		1 0 8 2
3		7		1 0 8 7 6 5 4 3
4		6		1 0 8 7 6 5 4
5		5		1 0 8 7 6 5
6		5		1 2 3 4 5 6
7		4		1 2 8 14 7
8		2		1 2 8
9		3		1 2 8 9
10		4		1 2 8 11 10
11		4		1 2 8 12 11
12		4		1 2 8 9 12
13		4		1 2 8 12 13
14		4		1 2 8 7 14
15		5		1 2 8 11 17 15
16		5		1 2 8 11 17 16
17		4		1 2 8 12 17
18		5		1 2 8 11 17 18
19		5		1 2 8 7 13 19
20		6		1 2 8 7 13 19 20
21		6		1 2 8 11 17 22 21
22		5		1 2 8 14 18 22
23		5		1 2 8 14 18 23
======================================================================

First routing table for node 2:
0		2		2 1 0
1		1		2 1
2		0		2
3		1		2 3
4		2		2 3 4
5		3		2 3 4 5
6		3		2 8 7 6
7		2		2 8 7
8		1		2 8
9		2		2 8 9
10		3		2 8 9 10
11		2		2 8 11
12		2		2 8 12
13		3		2 8 7 13
14		2		2 8 14
15		4		2 8 9 10 15
16		4		2 8 11 17 16
17		3		2 8 11 17
18		3		2 8 14 18
19		3		2 8 14 19
20		4		2 8 14 18 20
21		4		2 8 14 18 21
22		4		2 8 11 17 22
23		4		2 8 11 17 23
---------------------------------------------------------------------

Second routing table for node 2:
0		2		2 8 0
1		3		2 8 0 1
2		0		2
3		6		2 8 7 6 5 4 3
4		5		2 8 7 6 5 4
5		4		2 8 7 6 5
6		4		2 3 4 5 6
7		5		2 3 4 5 6 7
8		3		2 1 0 8
9		3		2 1 0 9
10		5		2 1 0 8 11 10
11		5		2 1 0 9 10 11
12		4		2 1 0 9 12
13		5		2 1 0 8 12 13
14		5		2 1 0 8 7 14
15		6		2 1 0 8 11 17 15
16		6		2 1 0 9 10 15 16
17		5		2 1 0 8 12 17
18		6		2 1 0 9 10 15 18
19		6		2 1 0 8 7 13 19
20		7		2 1 0 8 7 13 19 20
21		7		2 1 0 8 11 17 22 21
22		6		2 1 0 8 14 18 22
23		6		2 1 0 8 14 18 23
======================================================================

